HF_FNCLTY_MTRAL_RCOGN_NO,DAY_INTK_HIGHLIMIT,DAY_INTK_LOWLIMIT,WT_UNIT,RAWMTRL_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY
2023-40,500 (mg/일),500 (mg/일),mg/일,두충우슬추출복합물(KGC08EA)(제2023-40호),"(1) 성인 남성만 섭취할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 갱년기 남성의 건강에 도움을 줄 수 있음
(영문) May help to maintain male health in menopause"
New제2007-13호,"2,400 (mg)","2,400 (mg)",mg,차조기등복합추출물(기능성원료인정New제2007-13호),,(국문) 관절 건강에 도움을 줄 수 있음(기타기능II) (영문) May help to maintain joint health.
New제2007-15호,1 (g),1 (g),g,바이오게르마늄 효모(기능성원료인정New제2007-15호),"(1) 임산부, 수유여성 및 12세 이하 어린이는 섭취에 주의 (2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 면역기능증진에 도움을 줄 수 있음 (영문) May help to improve immune function
New제2007-23호,2 (g),1 (g),g,PMO 참밀알부민(기능성원료인정New제2007-23호),(1) 소맥알레르기 체질인 사람은 섭취에 주의하여야 합니다.,(국문) PMO 참밀알부민은 급격한 식후 혈당상승을 억제하는데 도움을 줄 수 있습니다 (기타기능II)
제2004-1호,400 (μg),250 (μg),μg,정어리펩타이드 SP100N(기능성원료인정제2004-1호),(1) 고혈압치료제 등 복용 시 전문가와 상담할 것 (2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(국문) 혈압을 조절하는데 도움을 줄 수 있음 (영문) May help to maintain healthy blood pressure
제2004-2호,10 (g),5 (g),g,자일리톨(기능성원료인정제2004-2호),(1) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(국문) 충치발생 위험 감소에 도움을 줌(치아건강) (영문) Can help to reduce risk of caries occurrence(dental health)
제2004-6호,800 (mg),800 (mg),mg,참당귀뿌리추출물(기능성원료인정제2004-6호),"①소화불량, 속쓰림 등이 나타날 수 있습니다.②혈액응고방지제 또는 혈당강하제를 복용하시는 분은 의사의 상담 하에 사용하여 주십시오.",(국문) 노인의 인지능력 저하의 개선에 도움을 줄 수 있음(기타기능II) (영문) May help to improve cognitive function affected by aging-related cognitive decline
제2004-7호,"2,079 (mg)","2,079 (mg)",mg,씨제이 히비스커스 등 복합추출물(기능성원료인정제2004-7호),"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것 (2) 이상사례 발생시 섭취를 중단하고 전문가와 상담할 것",(국문) 체지방 감소에 도움을 줄 수 있음(영문) May help to reduce body fat
제2004-8호,620 (mg),620 (mg),mg,초록입홍합추출오일복합물(기능성원료인정제2004-8호),(1) 임산부 및 수유부는 섭취를 피할 것 (2) 간 질환이 있거나 혈전용해제 등 복용 시 전문가와 상담할 것 (3) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 (4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(국문) 관절건강에 도움이 될 수 있음 (영문) May help to maintain healthy joint
제2005-10호,12 (g),8 (g),g,이소말토올리고당(기능성원료인정제2005-10호),① 과량으로 섭취 시에는 설사를 유발할 수 있습니다.,"(국문) 장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(기타기능II), 배변활동을 원활히 하는데 도움을 줄 수 있음(기타기능II) (영문) May help fat digestion by facilitating the secretion of bile acid, May help to improve bowel movements"
제2005-11호,12 (g),8 (g),g,이소말토올리고당(기능성원료인정제2005-11호),① 과량으로 섭취 시에는 설사를 유발할 수 있습니다.,"(국문) 장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(기타기능II), 배변활동을 원활히 하는데 도움을 줄 수 있음(기타기능II) (영문) May help fat digestion by facilitating the secretion of bile acid, May help to improve bowel movements"
제2005-15호,300 (mg),300 (mg),mg,피니톨(기능성원료인정제2005-15호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 간 건강에 도움을 줄 수 있음 (영문) May help to liver health
제2005-20호,3 (g),2 (g),g,대두올리고당(기능성원료인정제2005-20호),① 과량으로 섭취 시에는 설사를 유발할 수 있습니다.,"(국문) 장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(기타기능II), 배변활동을 원활히 하는데 도움을 줄 수 있음(기타기능II) (영문) May help fat digestion by facilitating the secretion of bile acid, May help to improve bowel movements"
제2005-9호,300 (mg),200 (mg),mg,포도종자추출물(기능성원료인정제2005-9호),,(국문) 인체의 항산화능 증진에 도움을 줄 수 있음(기타기능II) (영문) May help protect body from oxidative stress
제2006-11호,"3,400 (mg)","3,400 (mg)",mg,식물스타놀에스테르(기능성원료인정제2006-11호),①식물 스타놀 에스테르는 지용성 비타민의 흡수를 저해할 수 있습니다.,(국문) 식물스타놀 에스테르는 높은 혈중 콜레스테롤 수치 개선에 도움을 줄 수 있습니다 (영문) May help to reduce blood triglyceride levels after meals
제2006-13호,2 (g),2 (g),g,가쯔오부시올리고펩타이드(기능성원료인정제2006-13호),"① 임산부, 수유부는 섭취를 삼가시기 바랍니다.② 어린이, 노인, 신부전이 있는 사람, 혈압약을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다.",(국문) 혈압이 걱정되시는 분에게 도움을 줄 수 있음(기타기능II) (영문)  May help to regulate blood pressure
제2006-17호,40 (g),20 (g),g,헤모힘 당귀등 혼합추출물(기능성원료인정제2006-17호),"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것 (2) 월경불순이나 출혈성 질환이 있는 여성의 경우 전문가와 상담할 것 (3) 항응고제 복용시 전문가와 상담할 것 (4) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 (5) 이상사례 발생시 섭취를 중단하고 전문가와 상담할 것",(국문) 면역기능 개선에 도움을 줄 수 있음 (영문) May help to improve immune function
제2006-19호,"4,000 (mg)","4,000 (mg)",mg,카제인가수분해물(기능성원료인정제2006-19호),"(1) 임산부, 수유부는 섭취를 삼가시기 바랍니다. (2) 어린이, 노인, 신부전이 있는 사람, 혈압약을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다.",(국문) 혈압이 걱정되시는 분에게 도움을 줄 수 있음(기타기능II)
제2006-1호,200 (mg),50 (mg),mg,피크노제놀-프랑스해안송껍질추출물<PYCNOGENOL>(기능성원료인정제2006-1호),"(1) 임산부 및 수유부와 12세 이하의 어린이는 섭취를 피할 것 (2) 수술 전후, 질환이 있거나 의약품 복용 시 전문가와 상담할 것 (3) 식사 후 또는 식사와 함께 섭취할 것 (4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 인체에 유해한 활성산소를 제거하는데 도움을 줄 수 있음, 혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하는데 도움을 줄 수 있음, 갱년기 여성의 건강에 도움을 줄 수 있음 (영문) May help to remove reactive oxygen species which are harmful to human body, May help to inhibit blood coagulatin of platelet which can disturb blood flow, May help to climacteric women’s health"
제2006-25호,"1,000 (mg)",500 (mg),mg,올리브잎주정추출물 EFLA943(기능성원료인정제2006-25호),"(1) 위, 간 및 신장 질환이 있거나 고혈압치료제 등 복용 시 전문가와 상의 할 것 (2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 혈압조절에 도움을 줄 수 있음 (영문) May help to maintain healthy blood pressure
제2006-2호,"12,000 (mg)","8,000 (mg)",mg,이소말토올리고당(기능성원료인정제2006-2호),①과량으로 섭취 시에는 설사를 유발할 수 있습니다.,"(국문) 장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(기타기능II), 배변활동을 원활히 하는데 도움을 줄 수 있음(기타기능II) (영문) May help fat digestion by facilitating the secretion of bile acid, May help to improve bowel movements"
제2006-3호,"1,100 (mg)","1,100 (mg)",mg,황금등복합물(기능성원료인정제2006-3호),(1) 이상 사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(국문) 관절 건강에 도움을 줄 수 있음 (영문) May help to maintain healthy joint
제2006-4호,20 (mg),5 (mg),mg,폴리코사놀-사탕수수왁스알코올(기능성원료인정제2006-4호),"(1) 임산부, 수유부, 청소년 및 어린이는 섭취를 피할 것 (2) 심혈관약 등 복용, 혈액응고장애가 있거나 수술예정인 사람은 전문가와 상담할 것 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 혈중 콜레스테롤 수치 개선에 도움을 줄 수 있음, 혈압조절에 도움을 줄 수 있음 (영문) May help to improve blood cholesterol level, May help to regulate blood pressure"
제2007-10호,900 (mg),900 (mg),mg,콩발효추출물(기능성원료인정제2007-10호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 당의 흡수를 억제하여 식후혈당을 건강하게 유지하는데 도움을 줄 수 있음 (영문) May help to improve blood glucose levels by slowing digestion and absorption of sugar
제2007-15호,1 (g/일),1 (g/일),g/일,바이오게르마늄 효모(제2007-15호),"(1) 임산부, 수유여성 및 12세 이하 어린이는  섭취에 주의
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문)  면역기능증진에 도움을 줄 수 있음
(영문) May help to improve immune function"
제2007-4호,"50,000 (mg)",0 (mg),mg,아마인(기능성원료인정제2007-4호),①혈액응고와 관련된 질병이 있거나 혈액응고저해제를 섭취하는 경우는 반드시 의사나 약사와 상담 후에 섭취하여야 합니다.②아마인의 섭취는 다른 약물의 흡수를 방해할 수 있으므로 약제를 섭취하는 경우에는 의사나 약사와 상담 후 섭취하여야 합니다.,(국문) 콜레스테롤 감소에 도움을 줄 수 있음(기타기능II) (영문) May help to reduce blood triglyceride levels after meals
제2007-8호,"1,350 (mg)","1,350 (mg)",mg,솔잎증류농축액(기능성원료인정제2007-8호),"①기관지 천식, 해소 기침이나 기도에 심한 염증이 있는 사람은 사용을 금하시기 바랍니다.",(국문) 건강한 혈당의 유지에 도움을 줄 수 있음(기타기능II) (영문) May help to maintain healthy blood glucose levels
제2008-14호,"1,130 (mg)","1,130 (mg)",mg,소나무껍질추출물등복합물(기능성원료인정제2008-14호),"(1) 임산부, 수유부 및 어린이는 섭취를 피해야 함 (2) ’달맞이꽃종자유’에 과민증이 있는 사람을 섭취를 삼가야 함 (3) 과량 섭취 시 위장장애 등의 부작용이 있을 수 있음 (4) 기타 질병을 보유하고 있는 사람 및 수술 전후 환자는 섭취를 삼가야 하며 섭취 시 의사와 상담해야 함",(국문) 햇볕 또는 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음(기타기능II)
제2008-18호,900 (mg),900 (mg),mg,토치대두발효추출물(기능성원료인정제2008-18호),,(국문) 콩발효추출물은 발효시킨 콩을 추출한 것으로 당의 흡수를 억제하여 식후혈당을 건강하게 유지하는데 도움을 줄 수 있는 식품입니다. (영문) May help to maintain healthy blood glucose level
제2008-23호,2 (g),0 (g),g,표고버섯균사체추출물(기능성원료인정제2008-23호),,(국문) 간 건강에 도움을 줄 수 있음(기타기능II) (영문) May help to protect liver
제2008-31호,"1,000 (mg)","1,000 (mg)",mg,Enterococcus faecalis 가열처리건조분말(기능성원료인정제2008-31호),,(국문) 꽃가루에 의해 나타나는 코막힘의 개선에 도움을 줄 수 있음(기타기능II) (영문) May help to improve nasal condition caused by hypersensitivity reaction
제2008-42호,200 (mg),0 (mg),mg,포도종자추출물(기능성원료인정제2008-42호),"① 위장장애가 발생할 수 있다.② 영유아, 임산부는 섭취를 삼가 해야 한다.③ 식사조절, 운동을 병행하는 것이 체지방 감소에 효과적이다.",(국문) 인체의 항산화능 증진에 도움을 줄 수 있음(기타기능II) (영문) May help protect body from oxidative stress
제2008-52호,3 (g),3 (g),g,Green Mate Extract EFLA® 920(기능성원료인정제2008-52호),"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것 (2) 질환이 있거나 의약품 복용시 전문가와 상담할 것 (3) 카페인을 함유한 식품의 섭취에 주의할 것 (4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 체지방 감소에 도움을 줄 수 있습니다(생리활성기능 2등급) (영문) May help to reduce body fat
제2008-55호,"2,460 (mg)","2,460 (mg)",mg,헛개나무과병추출분말(기능성원료인정제2008-55호),(1) 임산부 및 수유부는 섭취를 피할 것 (2) 간 질환이 있는 경우 전문가와 상담할 것 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,"(국문) 알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음, 운동능력 향상에 도움을 줄 수 있음, 스트레스로 인한 피로개선에 도움을 줄 수 있음 (영문) May help to liver health on alcoholic liver damage, May help to improvement of exercise ability, May help to improvement of fatigue due to stress"
제2008-65호,20 (mg),10 (mg),mg,지아잔틴 추출물(기능성원료인정제2008-65호),(1) 임산부는 섭취 전 의사와 상담이 필요합니다. (2) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있습니다.,(국문) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음 (영문) May help the eye health by maintaining the density of macular pigments which can be decreased by aging
제2008-66호,20 (mg),10 (mg),mg,루테인/지아잔틴 복합추출물(기능성원료인정제2008-66호),(1) 임산부는 섭취 전 의사와 상담이 필요합니다. (2) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있습니다.,(국문) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음 (영문) May help the eye health by maintaining the density of macular pigments which can be decreased by aging
제2008-67호,3 (g),3 (g),g,"홍삼, 사상자, 산수유 복합추출물(기능성원료인정제2008-67호)","(1) 홍삼, 사상자, 산수유에 특이한 이상반응을 나타내는 사람은 섭취에 주의 (2)임산부 및 수유기 여성은 섭취에 주의",(국문) 햇볕 또는 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있습니다 (기타기능II)
제2008-6호,700 (mg),700 (mg),mg,APIC 대두배아열수추출물 등 복합물(기능성원료인정제2008-6호),"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것 (2) 알레르기성 비염, 천식, 우유, 대두알레르기반응을 나타내는 사람은 섭취에 주의 (3) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의 (4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 체지방의 감소에 도움을 줄 수 있음 (영문) May help to reduce body fat
제2008-78호,4 (g),2 (g),g,표고버섯균사체 AHCC(기능성원료인정제2008-78호),,(국문) 면역기능 증진에 도움을 줄 수 있음(생리활성기능 2등급)
제2008-79호,705 (mg),705 (mg),mg,쏘팔메토 열매 추출물 등 복합물(기능성원료인정제2008-79호),"(1) 메스꺼움이나 설사 등 소화계통의 불편함을 유발 할 수 있음 (2) 어린이, 임산부, 수유기 여성은 섭취에 주의할 것",(국문) 전립선 건강의 유지에 도움을 줄 수 있습니다 (영문) May help to maintain healthy prostate
제2008-7호,"5,000 (mg)","3,000 (mg)",mg,L-글루타민(기능성원료인정제2008-7호),"①Methotrexate, anticonvulsants, lactulose의 효     과를 경감시킬 우려가 있음②MSG에 민감한 사람은 섭취를 주의해야 함③신장 및 간질환이 있는 환자는 섭취를 주의해야 함④임산부, 수유부는 의사의 처방 없이는 섭취를삼가야 함",(국문) 과도한 운동 후의 L-글루타민 보충은 신체 저항능력 향상에 도움이 될 수 있음(기타기능II)
제2008-9호,"1,000 (IU)",500 (IU),IU,칸탈로프멜론추출물(기능성원료인정제2008-9호),(1) 밀 단백질에 알레르기를 나타내는 사람은 섭취에 주의,"(국문) 산화스트레스로부터 인체를 보호하는데 도움을 줄 수 있습니다, 혈관벽 두께(내중막 두께 : IMT) 증가 억제를 통한 혈행개선에 도움을 줄 수 있음, 자외선에 의한 피부홍반개선으로 피부건강에 도움을 줄 수 있음"
제2009-12호,300 (mg),300 (mg),mg,BT-11원지추출분말(기능성원료인정제2009-12호),"(1) 과다섭취 시 구토, 설사, 메스꺼움 등의 위장관 장애가 나타날 수 있으며 위장장애가 있는 분은 섭취에 주의 (2) 임산부, 수유 여성, 어린이는 섭취에 주의",(국문) 성인의 기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
제2009-15호,"1,000 (mg)","1,000 (mg)",mg,커피만노올리고당분말(기능성원료인정제2009-15호),"① 어린이, 임산부, 수유기 여성은 섭취에 주의하십시오.② 과량 섭취 시 복부팽만감을 느낄 수 있습니다.","(국문) 장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음(기타기능II) (영문) May help fat digestion by facilitating the secretion of bile acid, May help to improve bowel movements"
제2009-16호,800 (mg),800 (mg),mg,구아바잎추출물 등 복합물(BENDU381)(기능성원료인정제2009-16호),,"(국문) 과민반응에 의한 코 상태(코 가려움, 재채기, 콧물) 개선에 도움을 줄 수 있음(기타기능 II)"
제2009-17호,1 (g),1 (g),g,보이차 추출물(기능성원료인정제2009-17호),"(1) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음 (2) 임산부, 수유 여성, 어린이, 알레르기성 질환보유자, 질병치료 중인 환자는 섭취에 주의",(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있습니다.(기타기능 II)
제2009-18호,2 (g),2 (g),g,다래추출물(기능성원료인정제2009-18호),(1) 임산부 및 수유기 여성은 섭취 전 의사와 상담하여야 함,(국문) 면역 과민반응 개선에 도움을 줄 수 있음 (영문) May help to reduce hypersensitivity reactions
제2009-19호,8 (mg),4 (mg),mg,홍국쌀(기능성원료인정제2009-19호),,(국문) 콜레스테롤 개선
제2009-1호,20 (mg),20 (mg),mg,L-글루타민산 유래 GABA 함유 분말(기능성원료인정제2009-1호),"① 임산부와 수유기 여성, 어린이는 섭취에 주의하시기 바람",(국문) 혈압이 높은 사람에게 도움을 줄 수 있습니다(기타기능II) (영문)  May help to regulate blood pressure
제2009-20호,(mg/g),(mg/g),mg/g,중쇄지방산(MCFA) 함유 유지(기능성원료인정제2009-20호),,(국문) 이 제품은 중쇄지방산을 함유하고 있어 다른 식용유와 비교하였을 때 체지방 증가가 적을 수 있음(기타기능II)
제2009-21호,"99,999 (mg)",0 (mg),mg,CJ식물성유지 디글리세라이드(DG)(기능성원료인정제2009-21호),,(국문) 이 제품은 Diacylglyderide를 함유하고 있어 다른 식용유와 비교하였을 때 식후 혈중 중성지방과 체지방 증가가 적을 수 있음(기타기능II)
제2009-22호,4 (mg),2 (mg),mg,카제인가수분해물(기능성원료인정제2009-22호),,(국문) 혈압이 높은 사람에게 도움을 줄 수 있습니다(기타기능II) (영문)  May help to regulate blood pressure
제2009-25호,2 (g),1 (g),g,호프추출물(기능성원료인정제2009-25호),"(1) 어린이, 임산부 및 수유여성은 섭취에 주의 (2) 호프추출물에 알레르기 반응을 나타내는 분은 섭취에 주의 (3) 항우울제 또는 호르몬제를 복용하시는 분은 섭취에 주의",(국문) 호프추출물은 관절 건강에 도움을 줄 수 있습니다(기타기능II)
제2009-28호,"3,000,000,000,000 (-)","100,000,000 (-)",,프로바이오틱스(드시모네)(기능성원료인정제2009-28호),,"(국문) 유익한 유산균 증식, 유해균 억제, 배변활동 원활, 장 면역을 조절하여 장 건강에 도움을 줄 수 있음"
제2009-2호,"1,248 (mg)","1,248 (mg)",mg,지방산복합물(기능성원료인정제2009-2호),① 임산부 및 수유기 여성은 섭취에 주의,(국문) 관절건강에 도움을 줄 수 있음(기타기능II) (영문) May help to maintain joint health.
제2009-38호,2 (g),1 (g),g,정제오징어유(기능성원료인정제2009-38호),,(국문) 혈행개선(기타기능II) (영문) May help to improve blood flow
제2009-39호,4 (g),4 (g),g,Nopal 추출물(기능성원료인정제2009-39호),"(1) 어린이, 임산부 및 수유여성은 섭취에 주의",(국문) 식후 혈당조절에 도움을 줄 수 있습니다 (기타기능II)
제2009-3호,2 (g/일),2 (g/일),g/일,마그나스표고균사체추출물분말(제2009-3호),-,"(국문) 간 건강에 도움을 줄 수 있음
(영문) May help to liver health"
제2009-40호,"3,000 (mg)",650 (mg),mg,락추로스분말(제2009-40호),"(1) 영‧유아, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(당뇨병, 갈락토스혈증 등), 알레르기가 있는 사람은 섭취에 주의할 것
(3) 과다 섭취 시 위장관계 계통의 이상 반응 및 전해질 이상 등이 나타날 수 있음
(4) 이상 사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 유익균 증식, 유해균 억제에 도움을 줄 수 있음
(영문) May help to increase beneficial intestinal flora and suppress pathogenic bacteria"
제2009-46호,400 (mg),200 (mg),mg,피브로인추출물(BF-7®)(제2009-46호),"(1) 임산부 및 수유부는 섭취를 피할 것
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 기억력 개선에 도움을 줄 수 있음
(영문) May help to improve memory"
제2009-47호,500 (mg),500 (mg),mg,콜레우스 포스콜리 추출물 Forslean(기능성원료인정제2009-47호),"(1) 항응고제 또는 혈압조절제를 복용하시거나 혈압이 낮으신 분은 섭취에 주의 (2) 임산부, 수유여성, 어린이는 섭취에 주의",(국문) 체지방 감소에 도움을 줄 수 있습니다(기타기능 II)
제2009-49호,200 (mg),200 (mg),mg,리프리놀-초록입홍합추출오일(기능성원료인정제2009-49호),(1) 임신부 및 수유부는 섭취를 피할 것 (2) 간질환이 있거나 혈전용해제 등 복용 시 전문가와 상담할 것 (3) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 (4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(국문) 관절 건강에 도움을 줄 수 있음 (영문) May help to maintain healthy joint
제2009-50호,133 (mg),133 (mg),mg,HK 나토배양물(기능성원료인정제2009-50호),"(1) 알레르기 체질이신 분은 원재료를 확인하신 후 섭취하십시오. (2) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다. (3) 과다 섭취 시 혈액응고가 저해되어 출혈 위험이 증가될 수 있습니다. (4) 항혈전 관련 약품(항응고제, 항혈소판제제)을 섭취하는 사람은 의사와 상담 후 섭취하여야 합니다. (5) 수술 전과 후에는 섭취를 피해야 합니다.","(국문) 혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하여, 혈액흐름을 원활히 하는데 도움을 줄 수 있음.(기타 II)"
제2009-58호,3 (g),2 (g),g,액상 다래추출물(기능성원료인정제2009-58호),(1) 임산부와 수유부는 섭취에 주의,(국문) 면역 과민반응 개선에 도움을 줄 수 있음 (영문) May help to reduce hypersensitivity reactions
제2009-66호,34 (mg),10 (mg),mg,쌀겨추출물(기능성원료인정제2009-66호),(1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,(국문) 피부보습에 도움을 줄 수 있음(기타II)
제2009-67호,3 (g),3 (g),g,동결건조누에분말(기능성원료인정제2009-67호),(1) 당뇨병의 치료 및 예방에 사용될 수 없으므로 당뇨병 치료가 필요한 경우에는 의사와 상담 하에 사용하여야 합니다.,(국문) 혈당조절에 도움을 줄 수 있음 (영문) May help to maintain healthy blood glucose level
제2009-72호,50 (g),50 (g),g,아마인(기능성원료인정제2009-72호),(1) 혈액응고와 관련된 질병이 있거나 혈액응고저해제를 섭취하는 경우는 반드시 의사나 약사와 상담 후에 섭취하여야 합니다. (2) 아마인의 섭취는 다른 약물의 흡수를 방해할 수 있으므로 약제를 섭취하는 경우에는 의사나 약사와 상담 후 섭취하여야 합니다.,(국문) 콜레스테롤 감소에 도움을 줄 수 있음(기타기능 Ⅱ)
제2009-73호,8 (g),3 (g),g,보리 베타글루칸 추출물(Barley β-glucan Extract)(기능성원료인정제2009-73호),,(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있음 (영문) May help to improve blood cholesterol level
제2009-76호,2 (g),1 (g),g,정제오징어유(기능성원료인정제2009-76호),,"(국문) 혈행개선에 도움을 줄 수 있음(기타II) 혈중 중성지질 개선에 도움을 줄 수 있음(기타Ⅱ) (영문) May help to improve blood flow,May help to regulate (혹은 reduce, improve) blood triglyceride levels"
제2009-80호,8 (g),1 (g),g,자일로올리고당(xylooligosaccharide) 분말(기능성원료인정제2009-80호),"(1) 어린이는 섭취를 피할 것
(2) 과량으로 섭취 시 설사를 유발할 수도 있음
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음
(영문) May help to increase beneficial intestinal flora and suppress pathogenic bacteria, May help to improve bowel movements"
제2009-81호,8 (g),1 (g),g,자일로올리고당(xylooligosaccharide)(기능성원료인정제2009-81호),과량으로 섭취 시 설사를 유발할 수도 있습니다.,"(국문) 장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음(기타II) (영문) May help to increase beneficial intestinal flora and suppress  pathogenic bacteria, May help to improve bowel movements"
제2009-84호,"1,000 (mg)",500 (mg),mg,파크랜 크랜베리 분말(PACran Whole Cranberry Powder)(기능성원료인정제2009-84호),"(1) 와파린, 쿠마딘 등 항응고제, 오메프라졸 등의 위산분비 억제제와 함께 섭취하지 마십시오 (2) 제안된 섭취량 이상 과잉 복용할 경우 설사가 있을 수 있으므로, 정해진 섭취량을 준수하여 주십시오",(국문) 요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(기타기능II)
제2009-87호,2 (g),2 (g),g,해태올리고펩티드(NORI-PEPTIDE)(기능성원료인정제2009-87호),(1) 해조식 섭취에 주의해야 하는 분은 섭취를 삼가시기 바랍니다.,(국문) 혈압조절에 도움을 줄 수 있음(기타기능II)
제2010-10호,"4,400 (mg)","4,200 (mg)",mg,Nopal추출물(기능성원료인정제2010-10호),"어린이, 임산부 및 수유여성은 섭취에 주의",(국문) 식후 혈당조절에 도움을 줄 수 있습니다(기타기능II) (영문) May help to maintain healthy blood glucose levels
제2010-1호,100 (mg),50 (mg),mg,"비즈왁스알코올(Bees Wax Alcohol, BWA)(기능성원료인정제2010-1호)","(1) 어린이, 임산부 및 수유부는 섭취 시 주의","(국문) 항산화에 도움을 줄 수 있음(생리활성기능 2등급), 위점막을 보호하여 위건강에 도움을 줄 수 있음(생리활성기능 2등급), 관절 건강에 도움을 줄 수 있음(생리활성기능 2등급) (영문) May help protect body from oxidative stress, May help stomach health through improving gastric mucosa, May help to maintain healthy joint"
제2010-20호,514 (mg),514 (mg),mg,백수오 등 복합추출물(기능성원료인정제2010-20호),"(1) 임산부 및 수유부는 섭취를 피할 것 (2) 항응고제, 항혈전제 등 복용 시 전문가와 상담할 것 (3) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 (4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 갱년기 여성 건강에 도움을 줄 수 있음 (영문) May help to menopausal women`s health
제2010-21호,5 (g),5 (g),g,발효생성아미노산 복합물(기능성원료인정제2010-21호),"(1) 신장, 심혈관계 질환이 있거나 간기능이 저하된 분은 의사와 상담 후 섭취하십시오. (2) 임산부, 수유부는 의사와 상담 후 섭취하십시오.",(국문) 지구성 운동 시 피로개선에 도움을 줄 수 있음(기타기능Ⅱ)
제2010-23호,6 (g),6 (g),g,석류추출물(기능성원료인정제2010-23호),① 임산부와 수유부는 섭취를 피하는 것이 좋습니다.② 항혈전제를 복용하시는 분은 의사와 상의하시기 바랍니다.③ 에스트로겐 호르몬에 민감한 사람은 섭취에 주의하시기 바랍니다.,(국문) 갱년기 여성의 건강에 도움을 줄 수 있음(기타II) (영문) May help to maintain female health in menopause
